Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
IAPLTR1_Mm	1	1	1	0.001333959	1	1	1	1	1	1	0.806671612	1	2.49E-05	0.066116983	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR1a_Mm	1	1	1	3.35E-94	1	1	1	1	1	1	1	1	2.79E-18	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR2_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.52E-39	1	1	1	1	1	1	1.40E-173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR2a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.33E-09	1	1	1	1	1	1	0.445032651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.34E-23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR3	1	1	1	1	1	1	9.80E-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPLTR4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.611259247	1	1	1
IAPLTR4_I	1	1	1	1	1	1	0.00103319	1	1	1	1	1	6.75E-80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MMERVK10C-int	1	1	1.25E-38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00308327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.85E-113	1	1	1	1	1	0.027698921	1	1	1	1
MMETn-int	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.088258193	1	1	1	1	1.38E-166	1	1	1	1	1	1	1	1	1	1	1	0.592885759	1	1	1	6.78E-06	1	1	1	1	1	1	1	1	1	1	1	5.08E-140
MMTV-int	1	1	1	1	1	1.92E-17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MYSERV6-int	2.44E-31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MurERV4-int	3.29E-144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MurERV4_19-int	1.70E-37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.496650338	1	1	1	1	1
RLTR10	1	1	1	1	1	1	1	1	4.96E-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.87E-08	1	1	1
RLTR13A	1	1	1	1	3.53E-259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13A2	1	1	1	1	1.61E-42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13A3	1	1	1	1	3.53E-174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13B1	1	1	1	1	0	1	1	1	1	1	1	0.012222947	0.555553787	1	1	1	1	1	1	0.86816315	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13B2	1	1	1	1	8.28E-131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13B3	1	1	1	1	1.59E-221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13B4	1	1	1	1	4.10E-261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
